#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (7.524278975261940062e+07+0.000000000000000000e+00j)  (3.388875603976816198e+00+4.751977303638756212e+01j)
 (7.624602694932098687e+07+0.000000000000000000e+00j)  (3.521704160654541393e+00+4.719005703728354462e+01j)
 (7.724926414602257311e+07+0.000000000000000000e+00j)  (3.086294964117890949e+00+4.697450988432191110e+01j)
 (7.825250134272417426e+07+0.000000000000000000e+00j)  (2.254504880355555851e+00+4.718626142157430792e+01j)
 (7.925573853942576051e+07+0.000000000000000000e+00j)  (1.350697553015071550e+00+4.797962255982886148e+01j)
 (8.025897573612736166e+07+0.000000000000000000e+00j)  (7.302088806877252702e-01+4.928963134346236785e+01j)
 (8.126221293282894790e+07+0.000000000000000000e+00j)  (6.446278454171374683e-01+5.085423808941152402e+01j)
 (8.226545012953053415e+07+0.000000000000000000e+00j)  (1.144945365302130202e+00+5.231167529636525870e+01j)
 (8.326868732623213530e+07+0.000000000000000000e+00j)  (2.059844123968649132e+00+5.333688653482393960e+01j)
 (8.427192452293372154e+07+0.000000000000000000e+00j)  (3.058282498510635161e+00+5.376559943787093943e+01j)
 (8.527516171963532269e+07+0.000000000000000000e+00j)  (3.773578414090956290e+00+5.365870207130045344e+01j)
 (8.627839891633690894e+07+0.000000000000000000e+00j)  (3.942526280083738399e+00+5.328171299302221797e+01j)
 (8.728163611303849518e+07+0.000000000000000000e+00j)  (3.506791480572123643e+00+5.300613194451011623e+01j)
 (8.828487330974009633e+07+0.000000000000000000e+00j)  (2.637534594414964406e+00+5.316927071724862230e+01j)
 (8.928811050644168258e+07+0.000000000000000000e+00j)  (1.672958270359605315e+00+5.394541888201217716e+01j)
 (9.029134770314326882e+07+0.000000000000000000e+00j)  (9.914943324689066140e-01+5.527753695065475625e+01j)
 (9.129458489984486997e+07+0.000000000000000000e+00j)  (8.681383154386190792e-01+5.689623066506018745e+01j)
 (9.229782209654645622e+07+0.000000000000000000e+00j)  (1.368447881676295941e+00+5.841984958148234597e+01j)
 (9.330105929324805737e+07+0.000000000000000000e+00j)  (2.321053022746832895e+00+5.949857211301070947e+01j)
 (9.430429648994964361e+07+0.000000000000000000e+00j)  (3.380121463679375271e+00+5.994811520819074246e+01j)
 (9.530753368665122986e+07+0.000000000000000000e+00j)  (4.155084241752263097e+00+5.982197992500291406e+01j)
 (9.631077088335283101e+07+0.000000000000000000e+00j)  (4.359003814832465906e+00+5.939393108187806547e+01j)
 (9.731400808005441725e+07+0.000000000000000000e+00j)  (3.919247922529145001e+00+5.905627573328940372e+01j)
 (9.831724527675601840e+07+0.000000000000000000e+00j)  (3.007795386273352634e+00+5.917168257631848149e+01j)
 (9.932048247345760465e+07+0.000000000000000000e+00j)  (1.978612035809552694e+00+5.993448012392589419e+01j)
 (1.003237196701591909e+08+0.000000000000000000e+00j)  (1.234824501227099525e+00+6.129446395181271612e+01j)
 (1.013269568668607920e+08+0.000000000000000000e+00j)  (1.075491684409037862e+00+6.297306723898535807e+01j)
 (1.023301940635623783e+08+0.000000000000000000e+00j)  (1.580191847621466028e+00+6.456688306720747050e+01j)
 (1.033334312602639645e+08+0.000000000000000000e+00j)  (2.575951552448408233e+00+6.570012457754548052e+01j)
 (1.043366684569655657e+08+0.000000000000000000e+00j)  (3.700178332856257857e+00+6.616843857812173724e+01j)
 (1.053399056536671519e+08+0.000000000000000000e+00j)  (4.536780087355266389e+00+6.601905418122055380e+01j)
 (1.063431428503687531e+08+0.000000000000000000e+00j)  (4.774415721382709421e+00+6.553585540346176685e+01j)
 (1.073463800470703393e+08+0.000000000000000000e+00j)  (4.326715559310791548e+00+6.513387583877587872e+01j)
 (1.083496172437719256e+08+0.000000000000000000e+00j)  (3.368065644159194516e+00+6.520237030261768041e+01j)
 (1.093528544404735267e+08+0.000000000000000000e+00j)  (2.270212701165974511e+00+6.595576678508965074e+01j)
 (1.103560916371751130e+08+0.000000000000000000e+00j)  (1.462654034599699227e+00+6.734955303587128128e+01j)
 (1.113593288338766992e+08+0.000000000000000000e+00j)  (1.269198866123202318e+00+6.909407030875448186e+01j)
 (1.123625660305783004e+08+0.000000000000000000e+00j)  (1.782870179565551272e+00+7.076218879997252031e+01j)
 (1.133658032272798866e+08+0.000000000000000000e+00j)  (2.827460600141121549e+00+7.195089787791580704e+01j)
 (1.143690404239814878e+08+0.000000000000000000e+00j)  (4.021547692257542828e+00+7.243571453301571239e+01j)
 (1.153722776206830740e+08+0.000000000000000000e+00j)  (4.921797647256342501e+00+7.225877071424663711e+01j)
 (1.163755148173846602e+08+0.000000000000000000e+00j)  (5.191762386591875611e+00+7.171604077353171647e+01j)
 (1.173787520140862614e+08+0.000000000000000000e+00j)  (4.731927611022918256e+00+7.124730369779769035e+01j)
 (1.183819892107878476e+08+0.000000000000000000e+00j)  (3.720761808237404988e+00+7.126969198752361478e+01j)
 (1.193852264074894488e+08+0.000000000000000000e+00j)  (2.549918346435333216e+00+7.201779337065596565e+01j)
 (1.203884636041910350e+08+0.000000000000000000e+00j)  (1.677029593595136037e+00+7.345158021937646708e+01j)
 (1.213917008008926213e+08+0.000000000000000000e+00j)  (1.451376124290020053e+00+7.526827666470659040e+01j)
 (1.223949379975942224e+08+0.000000000000000000e+00j)  (1.978814612769683068e+00+7.701495649153008571e+01j)
