#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (9.129458489984486997e+07+0.000000000000000000e+00j)  (2.140598346064038893e+01+5.182905819823209725e+01j)
 (9.229782209654645622e+07+0.000000000000000000e+00j)  (2.004746904450260558e+01+4.859613760209462185e+01j)
 (9.330105929324805737e+07+0.000000000000000000e+00j)  (1.791675060436449840e+01+4.573289196332005702e+01j)
 (9.430429648994964361e+07+0.000000000000000000e+00j)  (1.510678699807201042e+01+4.339261270726090913e+01j)
 (9.530753368665122986e+07+0.000000000000000000e+00j)  (1.174055331056317542e+01+4.170605591812800128e+01j)
 (9.631077088335283101e+07+0.000000000000000000e+00j)  (7.965727387633497081e+00+4.077565540764783236e+01j)
 (9.731400808005441725e+07+0.000000000000000000e+00j)  (3.948280943162065348e+00+4.067096151060001574e+01j)
 (9.831724527675601840e+07+0.000000000000000000e+00j)  (-1.347470464430899628e-01+4.142550838371010968e+01j)
 (9.932048247345760465e+07+0.000000000000000000e+00j)  (-4.102980464905076730e+00+4.303525062003961921e+01j)
 (1.003237196701591909e+08+0.000000000000000000e+00j)  (-7.780602658910831693e+00+4.545864171131016462e+01j)
 (1.013269568668607920e+08+0.000000000000000000e+00j)  (-1.100407431675390946e+01+4.861835526206588298e+01j)
 (1.023301940635623783e+08+0.000000000000000000e+00j)  (-1.362933432003363521e+01+5.240457800267761002e+01j)
 (1.033334312602639645e+08+0.000000000000000000e+00j)  (-1.553816697464930208e+01+5.667973470152421100e+01j)
 (1.043366684569655657e+08+0.000000000000000000e+00j)  (-1.664345463488304233e+01+6.128444206013572426e+01j)
 (1.053399056536671519e+08+0.000000000000000000e+00j)  (-1.689308272241598274e+01+6.604443435769748305e+01j)
 (1.063431428503687531e+08+0.000000000000000000e+00j)  (-1.627232244797549399e+01+7.077816038985757530e+01j)
 (1.073463800470703393e+08+0.000000000000000000e+00j)  (-1.480458264814752667e+01+7.530472104011666090e+01j)
 (1.083496172437719256e+08+0.000000000000000000e+00j)  (-1.255049318743255959e+01+7.945180098615026054e+01j)
 (1.093528544404735267e+08+0.000000000000000000e+00j)  (-9.605355256229596961e+00+8.306324731053312860e+01j)
 (1.103560916371751130e+08+0.000000000000000000e+00j)  (-6.095065440272393609e+00+8.600596223046191824e+01j)
 (1.113593288338766992e+08+0.000000000000000000e+00j)  (-2.170687516552351148e+00+8.817580619671910824e+01j)
 (1.123625660305783004e+08+0.000000000000000000e+00j)  (1.998094398672617844e+00+8.950225001206699460e+01j)
 (1.133658032272798866e+08+0.000000000000000000e+00j)  (6.230358091250385755e+00+8.995156857023185637e+01j)
 (1.143690404239814878e+08+0.000000000000000000e+00j)  (1.034184022420931548e+01+8.952843199571903199e+01j)
 (1.153722776206830740e+08+0.000000000000000000e+00j)  (1.415300389994090047e+01+8.827581963916254892e+01j)
 (1.163755148173846602e+08+0.000000000000000000e+00j)  (1.749692414649409145e+01+8.627325552827976196e+01j)
 (1.173787520140862614e+08+0.000000000000000000e+00j)  (2.022664554080589383e+01+8.363343730559144262e+01j)
 (1.183819892107878476e+08+0.000000000000000000e+00j)  (2.222168819667142259e+01+8.049740119351086776e+01j)
 (1.193852264074894488e+08+0.000000000000000000e+00j)  (2.339341458455869827e+01+7.702843002553251495e+01j)
 (1.203884636041910350e+08+0.000000000000000000e+00j)  (2.368901857526147126e+01+7.340496703220959773e+01j)
 (1.213917008008926213e+08+0.000000000000000000e+00j)  (2.309395761241628620e+01+6.981284241301595728e+01j)
 (1.223949379975942224e+08+0.000000000000000000e+00j)  (2.163271645371188256e+01+6.643715078652546424e+01j)
 (1.233981751942958087e+08+0.000000000000000000e+00j)  (1.936786355235696533e+01+6.345413399169051871e+01j)
 (1.244014123909973949e+08+0.000000000000000000e+00j)  (1.639743572223308021e+01+6.102342464890191565e+01j)
 (1.254046495876989961e+08+0.000000000000000000e+00j)  (1.285075999034260086e+01+5.928099128935767226e+01j)
 (1.264078867844005823e+08+0.000000000000000000e+00j)  (8.882890283440959323e+00+5.833309631147987773e+01j)
 (1.274111239811021835e+08+0.000000000000000000e+00j)  (4.667897803482309094e+00+5.825153476479682979e+01j)
 (1.284143611778037697e+08+0.000000000000000000e+00j)  (3.913049189818619822e-01+5.907036683864503601e+01j)
 (1.294175983745053560e+08+0.000000000000000000e+00j)  (-3.758009125343433343e+00+6.078429231329424454e+01j)
 (1.304208355712069571e+08+0.000000000000000000e+00j)  (-7.596078124256877118e+00+6.334874390543371447e+01j)
 (1.314240727679085433e+08+0.000000000000000000e+00j)  (-1.095193297279552525e+01+6.668170150153332543e+01j)
 (1.324273099646101445e+08+0.000000000000000000e+00j)  (-1.367514524188001168e+01+7.066715398302908113e+01j)
 (1.334305471613117307e+08+0.000000000000000000e+00j)  (-1.564249801843203969e+01+7.516006299494851817e+01j)
 (1.344337843580133319e+08+0.000000000000000000e+00j)  (-1.676348874715556292e+01+7.999261676620832873e+01j)
 (1.354370215547149181e+08+0.000000000000000000e+00j)  (-1.698441884241833222e+01+8.498150487166932976e+01j)
 (1.364402587514165044e+08+0.000000000000000000e+00j)  (-1.629088577496632695e+01+8.993589916582078558e+01j)
 (1.374434959481180906e+08+0.000000000000000000e+00j)  (-1.470856255684250868e+01+9.466579405291368232e+01j)
 (1.384467331448196769e+08+0.000000000000000000e+00j)  (-1.230222405498618166e+01+9.899034223954748768e+01j)
 (1.394499703415212929e+08+0.000000000000000000e+00j)  (-9.173056123755511493e+00+1.027458209426201705e+02j)
 (1.404532075382228792e+08+0.000000000000000000e+00j)  (-5.454358821593139339e+00+1.057928783087648412e+02j)
 (1.414564447349244654e+08+0.000000000000000000e+00j)  (-1.305825673397291498e+00+1.080227399552612297e+02j)
 (1.424596819316260517e+08+0.000000000000000000e+00j)  (3.093356048523183688e+00+1.093620998079368434e+02j)
 (1.434629191283276379e+08+0.000000000000000000e+00j)  (7.552286508407076049e+00+1.097764759088446169e+02j)
 (1.444661563250292540e+08+0.000000000000000000e+00j)  (1.187667869980905344e+01+1.092718781743408272e+02j)
 (1.454693935217308402e+08+0.000000000000000000e+00j)  (1.587736564182978150e+01+1.078947083436806764e+02j)
 (1.464726307184324265e+08+0.000000000000000000e+00j)  (1.937861757084359127e+01+1.057298893958249124e+02j)
 (1.474758679151340127e+08+0.000000000000000000e+00j)  (2.222590413709037449e+01+1.028972991767859639e+02j)
 (1.484791051118355989e+08+0.000000000000000000e+00j)  (2.429275941978689346e+01+9.954665748857175345e+01j)
 (1.494823423085372150e+08+0.000000000000000000e+00j)  (2.548644543374847871e+01+9.585108417618016574e+01j)
 (1.504855795052388012e+08+0.000000000000000000e+00j)  (2.575216112190312145e+01+9.199960480224963533e+01j)
 (1.514888167019403875e+08+0.000000000000000000e+00j)  (2.507560642432241949e+01+8.818892770185470908e+01j)
 (1.524920538986419737e+08+0.000000000000000000e+00j)  (2.348378219703949554e+01+8.461484945114949596e+01j)
 (1.534952910953435600e+08+0.000000000000000000e+00j)  (2.104398344856444680e+01+8.146366355258786029e+01j)
 (1.544985282920451462e+08+0.000000000000000000e+00j)  (1.786102224077023237e+01+7.890394859495559388e+01j)
 (1.555017654887467623e+08+0.000000000000000000e+00j)  (1.407279422652974432e+01+7.707909715585569188e+01j)
 (1.565050026854483485e+08+0.000000000000000000e+00j)  (9.844375772123983737e+00+7.610091586243348161e+01j)
 (1.575082398821499348e+08+0.000000000000000000e+00j)  (5.360903729557551678e+00+7.604458159287175079e+01j)
 (1.585114770788515210e+08+0.000000000000000000e+00j)  (8.195443033578830860e-01+7.694518070845735735e+01j)
 (1.595147142755531073e+08+0.000000000000000000e+00j)  (-3.579101324613094270e+00+7.879598993677534224e+01j)
 (1.605179514722547233e+08+0.000000000000000000e+00j)  (-7.639780749159183593e+00+8.154858201888764313e+01j)
 (1.615211886689563096e+08+0.000000000000000000e+00j)  (-1.118117964231747408e+01+8.511475975420094642e+01j)
 (1.625244258656578958e+08+0.000000000000000000e+00j)  (-1.404393953780820858e+01+8.937024208095417066e+01j)
 (1.635276630623594820e+08+0.000000000000000000e+00j)  (-1.609775032442325227e+01+9.415994881068276356e+01j)
 (1.645309002590610683e+08+0.000000000000000000e+00j)  (-1.724720253675786097e+01+9.930465997021936175e+01j)
 (1.655341374557626843e+08+0.000000000000000000e+00j)  (-1.743613734383052716e+01+1.046087645112354636e+02j)
 (1.665373746524642706e+08+0.000000000000000000e+00j)  (-1.665029665386798996e+01+1.098687641422116457e+02j)
 (1.675406118491658568e+08+0.000000000000000000e+00j)  (-1.491814921232883862e+01+1.148821634186556651e+02j)
 (1.685438490458674431e+08+0.000000000000000000e+00j)  (-1.230984780243409737e+01+1.194563585741145459e+02j)
 (1.695470862425690293e+08+0.000000000000000000e+00j)  (-8.934354228578969881e+00+1.234171357771946589e+02j)
 (1.705503234392706454e+08+0.000000000000000000e+00j)  (-4.934849120274190426e+00+1.266164047168820161e+02j)
 (1.715535606359722316e+08+0.000000000000000000e+00j)  (-4.826192211201097981e-01+1.289388250664468956e+02j)
 (1.725567978326738179e+08+0.000000000000000000e+00j)  (4.230317603109806868e+00+1.303070301515238612e+02j)
 (1.735600350293754041e+08+0.000000000000000000e+00j)  (8.999532882046182181e+00+1.306852120803939954e+02j)
 (1.745632722260769904e+08+0.000000000000000000e+00j)  (1.361709387931820459e+01+1.300809031299687319e+02j)
 (1.755665094227785766e+08+0.000000000000000000e+00j)  (1.788066861304479715e+01+1.285448662900745944e+02j)
 (1.765697466194801927e+08+0.000000000000000000e+00j)  (2.160243177504796463e+01+1.261690901764894193e+02j)
 (1.775729838161817789e+08+0.000000000000000000e+00j)  (2.461738046085574894e+01+1.230829664548947022e+02j)
 (1.785762210128833652e+08+0.000000000000000000e+00j)  (2.679069245183641357e+01+1.194478078535514243e+02j)
 (1.795794582095849514e+08+0.000000000000000000e+00j)  (2.802379979990890746e+01+1.154499382747517018e+02j)
 (1.805826954062865376e+08+0.000000000000000000e+00j)  (2.825890498892903935e+01+1.112926502027230526e+02j)
 (1.815859326029881537e+08+0.000000000000000000e+00j)  (2.748173367774989018e+01+1.071873757163104273e+02j)
 (1.825891697996897399e+08+0.000000000000000000e+00j)  (2.572239411611281312e+01+1.033444536504730848e+02j)
 (1.835924069963913262e+08+0.000000000000000000e+00j)  (2.305429549088920993e+01+9.996389515086818278e+01j)
 (1.845956441930929124e+08+0.000000000000000000e+00j)  (1.959116214926247679e+01+9.722655208306377972e+01j)
 (1.855988813897944987e+08+0.000000000000000000e+00j)  (1.548226417096903873e+01+9.528607730288477740e+01j)
 (1.866021185864961147e+08+0.000000000000000000e+00j)  (1.090606346877129518e+01+9.426203324799459438e+01j)
 (1.876053557831977010e+08+0.000000000000000000e+00j)  (6.062545020853669087e+00+9.423445700307935624e+01j)
 (1.886085929798992872e+08+0.000000000000000000e+00j)  (1.164561859692867074e+00+9.524012794695481432e+01j)
 (1.896118301766008735e+08+0.000000000000000000e+00j)  (-3.571432581102077730e+00+9.727071094503271809e+01j)
 (1.906150673733024597e+08+0.000000000000000000e+00j)  (-7.934862269122348266e+00+1.002728669391054552e+02j)
 (1.916183045700040758e+08+0.000000000000000000e+00j)  (-1.173030257685525157e+01+1.041503372074243998e+02j)
 (1.926215417667056620e+08+0.000000000000000000e+00j)  (-1.478614311769587175e+01+1.087679212348653266e+02j)
 (1.936247789634072483e+08+0.000000000000000000e+00j)  (-1.696225647131570469e+01+1.139571848124349742e+02j)
 (1.946280161601088345e+08+0.000000000000000000e+00j)  (-1.815633116255933643e+01+1.195236583338574405e+02j)
 (1.956312533568104208e+08+0.000000000000000000e+00j)  (-1.830858373780608872e+01+1.252552186604197288e+02j)
 (1.966344905535120368e+08+0.000000000000000000e+00j)  (-1.740463405496128857e+01+1.309312943499727453e+02j)
 (1.976377277502136230e+08+0.000000000000000000e+00j)  (-1.547640701593006618e+01+1.363324959069836098e+02j)
 (1.986409649469152093e+08+0.000000000000000000e+00j)  (-1.260100952524950735e+01+1.412502517631338321e+02j)
 (1.996442021436167955e+08+0.000000000000000000e+00j)  (-8.897619756392492363e+00+1.454960279574076765e+02j)
 (2.006474393403183818e+08+0.000000000000000000e+00j)  (-4.522513007806944429e+00+1.489097251776860276e+02j)
 (2.016506765370199680e+08+0.000000000000000000e+00j)  (3.375692809631817282e-01+1.513668803762553523e+02j)
 (2.026539137337215841e+08+0.000000000000000000e+00j)  (5.473427029834994073e+00+1.527843502205688537e+02j)
 (2.036571509304231703e+08+0.000000000000000000e+00j)  (1.066244326694670796e+01+1.531242181012605670e+02j)
